lng,lat
-0.161384,51.4583785
-0.655803,51.608543
-1.7853788,52.0460667
-0.1566072,51.5217783
-0.1985923,51.5051678
-0.1976676,51.4917857
1.1956564,51.2456435
-0.0985481,51.5209533
-0.2186994,51.5295492
-0.1033216,51.5158404
-0.1314272,51.4880661
-0.0915472,51.5143841
0.1851938,51.4265445
-0.3665902,51.3608131
-1.595165,51.759966
0.0451699,51.3629448
-0.1733992,51.5212885
-0.6983216,51.0993548
-0.1620684,51.4887124
-0.0823113,51.5256005
-0.1996723,51.5258241
-0.200063,51.516655
0.3198664,51.1943177
-0.1125535,51.5725759
-0.1536639,51.4962865
-0.0870087,51.5444228
0.0920031,51.1596172
-0.2487753,51.4669722
-0.1562048,51.511386
-0.1242739,51.5055232
-0.8293625,51.3653197
-0.1082663,51.5112616
-0.1733992,51.5212885
-1.825363,53.9319039
-0.2255922,51.4872018
-1.5421529,53.3943614
-0.1962519,51.5656866
-2.6682249,53.5853108
-2.3520152,53.3873721
-0.0916093,51.5036524
-0.1662988,51.4443867
-2.524102,53.067185
-0.1582956,51.5405323
-0.1934742,51.5686177
-2.3674748,53.503906
-3.0052795,53.7602883
-1.0816874,50.6891492
0.329909,51.6224601
0.0796352,51.4065566
-1.7214322,52.7575808
-2.994937,50.782727
-0.1412564,51.5904452
-0.1033216,51.5158404
-0.1713407,51.4924749
-0.1373875,51.5066737
-0.1409413,51.5073097
-0.0053097,51.3907525
-0.1973682,51.2488741
-0.1405567,51.4980448
-0.139501,51.5186315
-0.3425867,51.3064613
-0.2216087,51.4780036
-0.6211884,52.0128791
-0.1422298,51.5081919
-0.1808112,51.5006322
-0.1501351,51.505149
-0.1033216,51.5158404
-0.8672664,51.803393
0.7549539,51.1749415
-0.0023666,52.2947156
-0.0792511,51.5169738
-0.1097178,51.513959
-0.2364272,51.4117167
0.1455533,50.9920189
-0.7406863,51.9976597
-0.5124237,51.3413086
-0.5795803,51.5012404
-0.1207515,51.5125034
-0.3677376,51.6524125
-2.8782529,53.1933594
-1.8316537,53.932022
-0.0151162,51.5022775
-0.6542352,51.3900308
-1.8398219,53.9249677
-0.9869546,52.3952892
0.4174318,51.6252629
-2.0047926,53.5602583
1.0497178,52.9552631
0.6722252,51.2026977
-0.5917514,51.234717
-0.3967129,51.3364819
-3.9461825,55.295811
-1.5230818,53.8070377
-0.2431117,51.5024847
-1.2714418,51.6439006
-0.0393052,51.5296276
-0.17208,51.520787
-1.8088231,52.433244
-2.5830362,51.4605956
-0.1024511,51.4749256
-0.687476,52.0453956
-0.1829569,51.527823
-1.7186445,52.3840015
-2.2502807,53.4776759
-2.3573799,53.3751218
-1.3925977,51.943954
-0.0287696,52.1951799
0.4082941,51.2993719
-0.3688011,51.6527224
-0.1438124,51.5098073
-1.2715112,51.7859611
-0.7824752,51.1689806
-2.6199605,51.479295
-0.1413656,51.5123384
-1.5504714,52.3700729
-0.2044843,51.494993
-0.7618571,51.1674485
-0.1409413,51.5073097
-1.507468,52.4077
-0.28667,51.556319
0.0434038,51.3646334
-1.2706466,51.7719758
-0.1499972,51.438405
-0.3550333,51.4294171
0.1314821,51.5508713
-1.5811987,50.808224
0.1063109,52.2064853
-0.6344899,51.6161084
0.2682584,51.4779989
-0.8934995,51.1637576
0.5182799,51.3344865
-0.3026721,51.5795693
-0.4221618,51.6107646
-0.2378105,51.4812454
-0.2366486,51.5055107
-0.1534815,51.3059705
-2.6116664,51.4664939
-0.1264947,51.5138764
1.1509867,51.2364253
-0.1748231,51.529857
0.1274237,52.1996255
-0.1770943,51.484694
-3.9079177,51.6690597
0.4892626,51.9524256
0.0311276,51.5816256
-0.1438124,51.5098073
-2.4190808,53.7677107
-0.1948472,51.5085669
-2.2665137,53.530714
-2.1503739,53.280791
0.1792536,51.2717634
-0.1689059,51.5133634
-0.180954,51.5238015
-0.1744123,51.5350221
-0.1942254,51.5599327
-1.5548235,52.1882102
-0.1660115,51.4898855
-1.058808,50.9094745
-0.1601453,51.4849683
-0.165258,51.534162
-2.9992701,50.7817303
-2.1509699,53.8653242
0.0482067,51.3639359
-0.5917514,51.234717
-2.0265509,51.9747647
-0.7968885,52.3988933
27.903905,-33.0198434
-0.1602249,51.5192475
-1.3057034,51.0631082
-0.1625759,51.5020834
-1.2333419,52.6370119
-2.773889,54.0452755
-2.5517855,53.2229712
0.0618474,51.5751385
-0.2077323,51.5109436
-0.1666873,51.4902118
-1.3925977,51.943954
0.0316921,51.1565731
-0.2717271,51.482157
-0.1341322,51.5179608
-0.0344699,51.5440527
-0.232172,51.129271
-0.1819687,51.5570807
-0.2591312,51.4107537
0.5700974,51.2752321
-0.878461,53.7906853
-2.7689979,51.4425041
-1.5397365,53.862592
-0.1391368,51.5776634
-1.776359,52.414316
-0.163,51.156117
-0.1337147,51.5108077
-1.5142469,51.346997
